categoria,investigador,titulo_x,autores,anio,link_paper,link,titulo_paper,autores_paper,anio_paper,issn_paper,tipo,revista,titulo_y,detalle_libro,editorial,resumen,keywords,nombre,disciplina,especialidad,tema,texto_clasificacion,categoria_predicha
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",Con ictos en Catamarca a nes del siglo XVIII: los fondos de la hacienda en las disputas por el poder,"ARAMENDI, Barbara Marisa.",2025.0,bicyt.conicet.gov.ar/fichas/produccion/12613184,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2025.0,,Artículo,Cuadernos FHyCS-UNJU (pp. 101-128) Universidad Nacional de Jujuy; FHyCS-UNJU,Con ictos en Catamarca a nes del siglo XVIII: los fondos de la hacienda en las disputas por el poder,,Universidad Nacional de Jujuy; FHyCS-UNJU,"Los conflictos formaban parte intrínseca de los cuerpos políticos del Antiguo Régimen y a partir de su estudio pueden observarse las maneras en que se ejerció el poder en el imperio español. Dada la diversidad de polos políticos que se integraba bajo una misma estructura monárquica, la dispersión del poder daba importancia a las elites locales y a los posicionamientos administrativos de cada región, por lo cual, es necesario situars...","conflictos, elite, catamarca, hacienda","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA","Sospechoso y, ¿enemigo de la causa?: El caso del teniente tesorero de Tucumán, 1810-1812","ARAMENDI, Barbara Marisa.",2022.0,bicyt.conicet.gov.ar/fichas/produccion/11936443,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2022.0,,Artículo,Naveg@mérica (pp. 1-27) Universidad de Murcia,"Sospechoso y, ¿enemigo de la causa?: El caso del teniente tesorero de Tucumán, 1810-1812",,Universidad de Murcia,"In this paper, based on the analysis of specific events in which the lieutenant treasurer of San Miguel de Tucumán, Manuel Antonio Pereyra was involved, we intend to investigate the conflictive relationship of this treasury official with other government agencies and members of the army during the revolutionary process and how he adapted to the new context. We ask what interests, perceptions and support he may have had about May´s events, the war, and his expectations of an open en...","revolución, tucumán, hacienda, teniente tesorero","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",Una vida al servicio de la Hacienda. Transitar el oficio entre la colonia y la revolución,"ARAMENDI, Barbara Marisa.",2021.0,bicyt.conicet.gov.ar/fichas/produccion/11984570,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2021.0,2314-257X,Artículo,"Anuario del Instituto de Historia Argentina, vol. 21 (pp. 1-18) - ISSN 2314-257X Centro de Historia Argentina y Americana-Facultad de Humanidades y Ciencias de la Educación- Universidad Nacional de La Plata",Una vida al servicio de la Hacienda. Transitar el oficio entre la colonia y la revolución,,Centro de Historia Argentina y Americana-Facultad de Humanidades y Ciencias de la Educación- Universidad Nacional de La Plata,"In this paper we address the trajectory and actions of Antonio Atienza, as an official of the Treasury in Salta from the late eighteenth century until the early years of the revolutionary period. We inquired about his professional performance, the relationships he built and the conflicts in which he was involved. In this way, we have appealed to approach the institution of the Hacienda from the perspective of one of its members, inquiring about its origin, formation and hiring, as well as the r...","tucumán, relaciones, trayectoria, oficial de hacienda","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",Gabriel Güemes Montero: tesorero de la Real Hacienda del Tucumán,"ARAMENDI, Barbara Marisa.",2021.0,bicyt.conicet.gov.ar/fichas/produccion/11984390,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2021.0,2683-6904,Artículo,Histopía (pp. 35-39) - ISSN 2683-6904 Teresa Fuster,Gabriel Güemes Montero: tesorero de la Real Hacienda del Tucumán,,Teresa Fuster,"Gabriel Güemes Montero, oriundo de Abionzo, valle de Villacarriedo, obispado deSantander fue enviado por la corona para servir como tesorero en las cajas principales dela Real Hacienda de la Gobernación del Tucumán en 1778. En Jujuy contrajo matrimoniocon Magdalena de Goyechea, que pertenecía a una de las familias más importantes de laelite jujeña. Fruto de esa unión nacieron nueve hijos, uno de los cuales fue Martín Miguelde Güemes.","familia, hacienda, tesorero, güemes","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",El Resguardo de la Aduana durante el proceso revolucionario en Salta (1810-1817),"ARAMENDI, Barbara Marisa.",2019.0,bicyt.conicet.gov.ar/fichas/produccion/8681033,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2019.0,0034-8325,Artículo,Revista de Historia de América (pp. 1-30) - ISSN 0034-8325 Instituto Panamericano de Geografía e Historia - OEA,El Resguardo de la Aduana durante el proceso revolucionario en Salta (1810-1817),,Instituto Panamericano de Geografía e Historia - OEA,"El presente trabajo estudia los mecanismos de control y recaudación de la Hacienda descendiendo a la cotidianeidad administrativa y política mediante el análisis de los guardas de Salta y Jujuy. Nos preguntamos quiénes ocupa-ron esos cargos, cuáles fueron sus funciones, cómo y dónde las ejercieron en un contexto donde el orden político empezaba a percibirse como parte de una monarquía en crisis. El interés por esta problem&aa...","proceso revolucionario, hacienda, guardas","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA","""Repelerá la fuerza con la fuerza: El enfrentamiento entre dos subdelegados de la Puna a principios del siglo XIX"", ""It will Repel Force with Force"": confrotations Between two Subdelegates of the Puna at the Beginning of the XIX Century","ARAMENDI, Barbara Marisa.",2018.0,bicyt.conicet.gov.ar/fichas/produccion/8175506,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2018.0,,Artículo,"PROHISTORIA, vol. XXI (pp. 33-57) Grupo Prohistoria","""Repelerá la fuerza con la fuerza: El enfrentamiento entre dos subdelegados de la Puna a principios del siglo XIX"", ""It will Repel Force with Force"": confrotations Between two Subdelegates of the Puna at the Beginning of the XIX Century",,Grupo Prohistoria,"A principios de 1810 dos oficiales de la corona se enfrentaron violentamente por el cargo de subdelegado de la Puna. Analizamos este conflicto para comprender cómo funcionó el poder político en la región, en este sentido nos preguntamos qué situación llevó a que dos personas reclamaran el mismo cargo y se enfrentaran por él con la fuerza de las armas. Quiénes eran esos subdelegados en pugna y qué papel jugaron el resto de las...","conflicto, subdelegados, administración, puna","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",,,,bicyt.conicet.gov.ar/fichas/produccion/7802840,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2017.0,2027-4688,Artículo,"Fronteras de la Historia, vol. 22 (pp. 12-37) - ISSN 2027-4688 Instituto Colombiano de Antropología e Historia","El distrito de la Puna y su primer subdelegado. Intendencia de Salta del Tucumán, 1784-1795, Jurisdiction of Puna and the First Subdelegate. Salta of Tucuman Intendancy, 1784-1795",,Instituto Colombiano de Antropología e Historia,"En el presente trabajo analizamos el accionar,las relaciones y los conflictos del primer subdelegado nombrado para la jurisdicción de la Puna, con el objetivo de comprender el funcionamiento de la administración hispana en un espacio de características particulares en la Gobernación Intendencia de Salta del Tucumán. Para ello centramos nuestra mirada sobre el funcionario Juan Bautista Villegas,cuyo desempeño estuvo atravesado por la importancia de la ac...","colonia, administracion, subdelegado, puna","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",,,,bicyt.conicet.gov.ar/fichas/produccion/7720538,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2016.0,1668-3684,Artículo,"Bibliographica Americana (pp. 32-48) - ISSN 1668-3684 Biblioteca Nacional ""Mariano Moreno""",Las prácticas administrativas de la Real Hacienda: La región de Salta del Tucumán en la segunda mitad del siglo XVIII,,"Biblioteca Nacional ""Mariano Moreno""",Se trata de una mirada de la organización administrativa que remite a una nueva historia de las instituciones donde desde la re?exión microhistórica y desde el accionar de los funcionarios se busca analizar la estruc-tura y funcionamiento del Imperio español para evadir la presentación de la organización estatal como una fotografía institucional de una realidad estática. Aunque las normativas son fundamentales para analizar las institucion...,"salta, administracion, hacienda","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",,,,bicyt.conicet.gov.ar/fichas/produccion/2640597,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2014.0,0327-5752,Artículo,"Memoria Americana, vol. 22 (pp. 91-110) - ISSN 0327-5752 Instituto de Ciencias Antropológicas",UN FUNCIONARIO EN LA REVOLUCIÓN. POSTULADOS PRESENTISTAS Y UN ESTUDIO DE CASO DE LA REAL HACIENDA EN JUJUY,,Instituto de Ciencias Antropológicas,"En el presente trabajo nos proponemos observar los cambios y permanencias en la administración de la Real Hacienda en Jujuy a partir de la revolución de mayo de 1810, para analizar cómo fue el camino de trasformación que sufrió esa administración colonial y sus instituciones. Nos centramos en el análisis de las modificaciones que se dieron en esa caja subalterna y para dar cuenta de ello pondremos el foco de atención en la figura del tenie...","administración, estado, revolución, hacienda","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
INVESTIGADOR,"ARAMENDI, BARBARA MARISA",,,,bicyt.conicet.gov.ar/fichas/produccion/6638251,https://bicyt.conicet.gov.ar/fichas/p/barbara-marisa-aramendi,,"ARAMENDI, BARBARA MARISA",2013.0,1438-4752,Artículo,"Jahrbuch für Geschichte Lateinamerikas/ Anuario de Historia de América Latina, vol. 50 (pp. 125-152) - ISSN 1438-4752 Böhlau","El controvertido teniente asesor don Joseph de Medeiros. Un funcionario real en la periferia del Imperio: Salta, siglo XVIII",,Böhlau,"In this paper we present a study of Joseph de Medeiros, an officer working for the Intendency of Salta in order to analyze his actions as regards his double position between the interests of the crown he was representing and those of the local elites. We focus our attention on the relations and the conflicts that Joseph de Medeiros created as officer and as member of the local society, thereby analyzing the functioning of the Bourbon administration in a peripheral place. We define Medeiros&rsqu...","administración, funcionario, relaciones, salta","ARAMENDI, Barbara Marisa (INVESTIGADOR ADJUNTO)",,Historia de las instituciones,"Adhesiones políticas, familias y redes de relaciones de los representantes del rey en el Tucumán durante el proceso revolucionario",sin datos,Comunicaciones
